Zone.Code,Zone.Name,TDS,quintile
00AFGK,Clock House,0.468278595,4
00AFGL,Copers Cope,-0.3215955,3
00AFGM,Cray Valley East,0.875566667,4
00AFGN,Cray Valley West,1.728780335,4
00AFGP,Crystal Palace,5.852124898,5
00AFGQ,Darwin,-3.304388367,1
00AFGR,Farnborough and Crofton,-2.831548947,2
00AFGS,Hayes and Coney Hall,-3.442348941,1
00AFGT,Kelsey and Eden Park,-1.653006868,2
00AFGU,Mottingham and Chislehurst North,2.807819604,5
00AFGW,Orpington,-0.683066212,3
00AFGX,Penge and Cator,4.350360861,5
00AFGY,Petts Wood and Knoll,-4.257978668,1
00AFGZ,Plaistow and Sundridge,0.133568338,3
00AFHA,Shortlands,-3.024627254,1
00AFHB,West Wickham,-3.095021522,1
00AGGD,Belsize,6.645107439,5
00AGGE,Bloomsbury,9.721852894,5
00AGGF,Camden Town with Primrose Hill,8.300423098,5
00AGGG,Cantelowes,8.777823834,5
00AGGH,Fortune Green,6.425306998,5
00AGGJ,Frognal and Fitzjohns,4.539728312,5
00AGGK,Gospel Oak,8.703833548,5
00AGGL,Hampstead Town,3.301158005,5
00AGGM,Haverstock,9.843683596,5
00AGGN,Highgate,5.583241805,5
00AGGP,Holborn and Covent Garden,10.66615474,5
00AGGQ,Kentish Town,8.027786694,5
00AGGR,Kilburn,9.826800636,5
00AGGS,King's Cross,12.31174881,5
00AGGT,Regent's Park,11.2842873,5
00AGGU,St Pancras and Somers Town,12.79497224,5
00AGGW,Swiss Cottage,5.983052452,5
00AGGX,West Hampstead,7.132715313,5
00AHGE,Addiscombe,2.661458028,4
00AHGF,Ashburton,1.347965604,4
00AHGG,Bensham Manor,4.362141033,5
00AHGH,Broad Green,5.95284332,5
00AHGJ,Coulsdon East,-1.525553386,3
00AHGK,Coulsdon West,-2.347505391,2
00AHGL,Croham,0.707426282,4
00AHGM,Fairfield,4.054781686,5
00AHGN,Fieldway,7.86208776,5
00AHGP,Heathfield,-1.264152399,3
00AHGQ,Kenley,-1.348615182,3
00AHGR,New Addington,4.560752138,5
00AHGS,Norbury,2.550822888,4
00AHGT,Purley,-0.995536022,3
00AHGU,Sanderstead,-3.348315088,1
00AHGW,Selhurst,5.920659141,5
00AHGX,Selsdon and Ballards,-3.88916588,1
00AHGY,Shirley,0.820887231,4
00AHGZ,South Norwood,4.092960423,5
00AHHA,Thornton Heath,3.783008802,5
00AHHB,Upper Norwood,3.08072037,5
00AHHC,Waddon,3.158025709,5
00AHHD,West Thornton,4.947635812,5
00AHHE,Woodside,3.34911621,5
00AJGC,Acton Central,5.459095593,5
00AJGD,Cleveland,4.320920692,5
00AJGE,Dormers Wells,7.055615784,5
00AJGF,Ealing Broadway,3.358558184,5
00AJGG,Ealing Common,3.724334525,5
00AJGH,East Acton,6.044079838,5
00AJGJ,Elthorne,3.861071054,5
00AJGK,Greenford Broadway,4.466286789,5
00AJGL,Greenford Green,2.251046574,4
00AJGM,Hanger Hill,1.784134618,4
00AJGN,Hobbayne,3.669063091,5
00AJGP,Lady Margaret,3.453940268,5
00AJGQ,Northfield,0.846999201,4
00AJGR,North Greenford,2.048880296,4
00AJGS,Northolt Mandeville,4.116014852,5
00AJGT,Northolt West End,5.380639669,5
00AJGU,Norwood Green,6.349917725,5
00AJGW,Perivale,2.720117198,4
00AJGX,South Acton,7.15130637,5
00AJGY,Southall Broadway,6.957935711,5
00AJGZ,Southall Green,5.998368512,5
00AJHA,Southfield,2.370574874,4
00AJHB,Walpole,2.178338182,4
00AKGL,Bowes,3.807137839,5
00AKGM,Bush Hill Park,-0.882158351,3
00AKGN,Chase,2.207541509,4
00AKGP,Cockfosters,0.678100915,4
00AKGQ,Edmonton Green,8.791669418,5
00AKGR,Enfield Highway,3.95173197,5
00AKGS,Enfield Lock,2.880191593,5
00AKGT,Grange,-2.059165872,2
00AKGU,Haselbury,5.057873149,5
00AKGW,Highlands,-0.972324704,3
00AKGX,Jubilee,3.588253389,5
00AKGY,Lower Edmonton,5.200477021,5
00AKGZ,Palmers Green,2.073741818,4
00AKHA,Ponders End,5.182871691,5
00AKHB,Southbury,3.556657468,5
00AKHC,Southgate,0.82253604,4
00AKHD,Southgate Green,2.123455773,4
00AKHE,Town,-1.217097392,3
00AKHF,Turkey Street,3.131126799,5
00AKHG,Upper Edmonton,6.54781254,5
00AKHH,Winchmore Hill,0.146807109,3
00ALGP,Abbey Wood,6.089127198,5
00ALGQ,Blackheath Westcombe,3.48099941,5
00ALGR,Charlton,6.416198798,5
00ALGS,Coldharbour and New Eltham,1.068979366,4
00ALGT,Eltham North,0.463976876,4
00ALGU,Eltham South,1.841557314,4
00ALGW,Eltham West,7.845496277,5
00ALGX,Glyndon,8.309708349,5
00ALGY,Greenwich West,6.539795626,5
00ALGZ,Kidbrooke with Hornfair,4.76051393,5
00ALHA,Middle Park and Sutcliffe,4.145912728,5
00ALHB,Peninsula,5.928573372,5
00ALHC,Plumstead,5.301335334,5
00ALHD,Shooters Hill,2.417465374,4
00ALHE,Thamesmead Moorings,6.566276503,5
00ALHF,Woolwich Common,9.625307706,5
00ALHG,Woolwich Riverside,10.73345956,5
00AMGA,Brownswood,9.9901436,5
00AMGB,Cazenove,10.33994686,5
00AMGC,Chatham,10.95811841,5
00AMGD,Clissold,7.945287106,5
00AMGE,Dalston,9.958602014,5
00AMGF,De Beauvoir,10.32959208,5
00AMGG,Hackney Central,10.95652786,5
00AMGH,Hackney Downs,9.799339033,5
00AMGJ,Haggerston,11.75046869,5
00AMGK,Hoxton,11.30271173,5
00AMGL,King's Park,10.23711613,5
00AMGM,Leabridge,8.489914705,5
00AMGN,Lordship,9.366852995,5
00AMGP,New River,11.57183773,5
00AMGQ,Queensbridge,10.57568184,5
00AMGR,Springfield,11.23856488,5
00AMGS,Stoke Newington Central,8.480139772,5
00AMGT,Victoria,9.658249779,5
00AMGU,Wick,10.5104325,5
00ANGA,Addison,7.211792233,5
00ANGB,Askew,7.547539082,5
00ANGC,Avonmore and Brook Green,7.099652549,5
00ANGD,College Park and Old Oak,9.458985947,5
00ANGE,Fulham Broadway,8.094594764,5
00ANGF,Fulham Reach,6.440518675,5
00ANGG,Hammersmith Broadway,8.610835435,5
00ANGH,Munster,4.51855111,5
00ANGJ,North End,8.065083125,5
00ANGK,Palace Riverside,2.344573155,4
00ANGL,Parsons Green and Walham,4.132746466,5
00ANGM,Ravenscourt Park,5.588310544,5
00ANGN,Sands End,5.992663178,5
00ANGP,Shepherd's Bush Green,8.823210504,5
00ANGQ,Town,5.91384524,5
00ANGR,Wormholt and White City,9.758176103,5
00APGA,Alexandra,1.549154767,4
00APGB,Bounds Green,7.32972244,5
00APGC,Bruce Grove,8.72620842,5
00APGD,Crouch End,3.365334731,5
00APGE,Fortis Green,2.859116654,5
00APGF,Harringay,7.370645664,5
00APGG,Highgate,3.378193698,5
00APGH,Hornsey,6.729999217,5
00APGJ,Muswell Hill,2.588758938,4
00APGK,Noel Park,9.36500181,5
00APGL,Northumberland Park,11.23529115,5
00APGM,St Ann's,8.511165164,5
00APGN,Seven Sisters,9.435531462,5
00APGP,Stroud Green,5.90516381,5
00APGQ,Tottenham Green,10.57635882,5
00APGR,Tottenham Hale,9.777115992,5
00APGS,West Green,9.15140479,5
00APGT,White Hart Lane,9.810591278,5
00APGU,Woodside,7.733904267,5
00AQFY,Belmont,-0.599339638,3
00AQFZ,Canons,0.355901484,4
00AQGA,Edgware,2.757910456,4
00AQGB,Greenhill,4.139916941,5
00AQGC,Harrow on the Hill,2.861767244,5
00AQGD,Harrow Weald,1.100737759,4
00AQGE,Hatch End,-0.661825851,3
00AQGF,Headstone North,-1.367638951,3
00AQGG,Headstone South,1.304840289,4
00AQGH,Kenton East,3.610117262,5
00AQGJ,Kenton West,0.942927347,4
00AQGK,Marlborough,2.415463257,4
00AQGL,Pinner,0.695364428,4
00AQGM,Pinner South,-1.915888652,2
00AQGN,Queensbury,2.445397014,4
00AQGP,Rayners Lane,0.63793132,4
00AQGQ,Roxbourne,5.17921676,5
00AQGR,Roxeth,2.978068565,5
00AQGS,Stanmore Park,0.036453524,3
00AQGT,Wealdstone,2.69373357,4
00AQGU,West Harrow,1.913133093,4
00ARGC,Brooklands,0.572420811,4
00ARGD,Cranham,-3.09041877,1
00ARGE,Elm Park,-0.437497276,3
00ARGF,Emerson Park,-3.358330236,1
00ARGG,Gooshays,4.838555048,5
00ARGH,Hacton,-2.279725858,2
00ARGJ,Harold Wood,-0.253574283,3
00ARGK,Havering Park,0.470940226,4
00ARGL,Heaton,3.458648697,5
00ARGM,Hylands,-2.279162664,2
00ARGN,Mawneys,-1.148801531,3
00ARGP,Pettits,-2.555733376,2
00ARGQ,Rainham and Wennington,-0.707545497,3
00ARGR,Romford Town,0.341758384,4
00ARGS,St Andrew's,-0.9137795,3
00ARGT,South Hornchurch,0.807355159,4
00ARGU,Squirrel's Heath,-1.970208253,2
00ARGW,Upminster,-3.843365811,1
00ASGG,Barnhill,3.497444362,5
00ASGH,Botwell,3.623010695,5
00ASGJ,Brunel,1.446549492,4
00ASGK,Cavendish,-1.282250586,3
00ASGL,Charville,0.170981985,3
00ASGM,Eastcote and East Ruislip,-3.015767306,1
00ASGN,Harefield,0.151252059,3
00ASGP,Heathrow Villages,2.30953789,4
00ASGQ,Hillingdon East,0.343540238,4
00ASGR,Ickenham,-3.296634471,1
00ASGS,Manor,-1.925278868,2
00ASGT,Northwood,0.266236369,4
00ASGU,Northwood Hills,0.146523569,3
00ASGW,Pinkwell,3.383925386,5
00ASGX,South Ruislip,-0.348366776,3
00ASGY,Townfield,4.524443314,5
00ASGZ,Uxbridge North,-0.585138901,3
00ASHA,Uxbridge South,2.40552958,4
00ASHB,West Drayton,1.921886012,4
00ASHC,West Ruislip,-0.650779481,3
00ASHD,Yeading,3.415851652,5
00ASHE,Yiewsley,2.260661855,4
00ATFY,Bedfont,2.881835044,5
00ATFZ,Brentford,5.478189635,5
00ATGA,Chiswick Homefields,1.779349616,4
00ATGB,Chiswick Riverside,2.503442566,4
00ATGC,Cranford,6.127168395,5
00ATGD,Feltham North,1.442834804,4
00ATGE,Feltham West,2.567000161,4
00ATGF,Hanworth,4.366394412,5
00ATGG,Hanworth Park,1.468965107,4
00ATGH,Heston Central,4.029275239,5
00ATGJ,Heston East,3.667112289,5
00ATGK,Heston West,5.726701972,5
00ATGL,Hounslow Central,4.776670967,5
00ATGM,Hounslow Heath,4.745087544,5
00ATGN,Hounslow South,-0.166567531,3
00ATGP,Hounslow West,4.867736066,5
00ATGQ,Isleworth,4.888741316,5
00ATGR,Osterley and Spring Grove,0.33498693,4
00ATGS,Syon,3.945428704,5
00ATGT,Turnham Green,2.962571927,5
00AUFX,Barnsbury,8.301655485,5
00AUFY,Bunhill,10.61029166,5
00AUFZ,Caledonian,9.73966226,5
00AUGA,Canonbury,8.664044237,5
00AUGB,Clerkenwell,8.786915996,5
00AUGC,Finsbury Park,10.1397089,5
00AUGD,Highbury East,6.533348479,5
00AUGE,Highbury West,8.34749616,5
00AUGF,Hillrise,8.588557093,5
00AUGG,Holloway,9.883598601,5
00AUGH,Junction,8.524969803,5
00AUGJ,Mildmay,8.900595864,5
00AUGK,St George's,8.231913243,5
00AUGL,St Mary's,8.381026587,5
00AUGM,St Peter's,8.385474946,5
00AUGN,Tollington,9.330912003,5
00AWFY,Abingdon,6.63027066,5
00AWFZ,Brompton,6.317067547,5
00AWGA,Campden,3.941497395,5
00AWGB,Colville,9.660388502,5
00AWGC,Courtfield,7.072676043,5
00AWGD,Cremorne,8.45384585,5
00AWGE,Earl's Court,9.452934935,5
00AWGF,Golborne,13.15938224,5
00AWGG,Hans Town,6.519283237,5
00AWGH,Holland,5.085419235,5
00AWGJ,Norland,6.584470199,5
00AWGK,Notting Barns,10.41456414,5
00AWGL,Pembridge,6.869982797,5
00AWGM,Queen's Gate,5.44647492,5
00AWGN,Redcliffe,4.987873605,5
00AWGP,Royal Hospital,4.243640461,5
00AWGQ,St Charles,10.63779044,5
00AWGR,Stanley,3.689029515,5
00AXFX,Alexandra,-1.176308511,3
00AXFY,Berrylands,1.742932197,4
00AXFZ,Beverley,1.194747097,4
00AXGA,Canbury,-0.105740821,3
00AXGB,Chessington North and Hook,-0.325072747,3
00AXGC,Chessington South,-1.093037837,3
00AXGD,Coombe Hill,0.937195883,4
00AXGE,Coombe Vale,-0.073388351,3
00AXGF,Grove,1.505978893,4
00AXGG,Norbiton,4.393511234,5
00AXGH,Old Malden,-1.045611876,3
00AXGJ,St James,-0.391254223,3
00AXGK,St Mark's,1.153825626,4
00AXGL,Surbiton Hill,0.708299914,4
00AXGM,Tolworth and Hook Rise,0.262507904,4
00AXGN,Tudor,-1.739670398,2
00AYFZ,Bishop's,9.694431627,5
00AYGA,Brixton Hill,7.995278411,5
00AYGB,Clapham Common,5.106296167,5
00AYGC,Clapham Town,7.329165673,5
00AYGD,Coldharbour,11.40315811,5
00AYGE,Ferndale,9.171386849,5
00AYGF,Gipsy Hill,6.917271325,5
00AYGG,Herne Hill,7.389336253,5
00AYGH,Knight's Hill,6.520939754,5
00AYGJ,Larkhall,9.587060519,5
00AYGK,Oval,9.241153276,5
00AYGL,Prince's,9.61767687,5
00AYGM,St Leonard's,5.783061114,5
00AYGN,Stockwell,10.55726229,5
00AYGP,Streatham Hill,6.475875494,5
00AYGQ,Streatham South,4.744070538,5
00AYGR,Streatham Wells,6.460075667,5
00AYGS,Thornton,7.258019438,5
00AYGT,Thurlow Park,4.792028712,5
00AYGU,Tulse Hill,9.299238288,5
00AYGW,Vassall,10.42985091,5
00AZGD,Bellingham,6.687871987,5
00AZGE,Blackheath,5.039123291,5
00AZGF,Brockley,8.146327484,5
00AZGG,Catford South,2.038891354,4
00AZGH,Crofton Park,3.80523488,5
00AZGJ,Downham,5.502131782,5
00AZGK,Evelyn,11.74052468,5
00AZGL,Forest Hill,5.529171557,5
00AZGM,Grove Park,3.061432305,5
00AZGN,Ladywell,5.072831045,5
00AZGP,Lee Green,3.210026236,5
00AZGQ,Lewisham Central,6.782991098,5
00AZGR,New Cross,10.44099534,5
00AZGS,Perry Vale,5.088245612,5
00AZGT,Rushey Green,6.382193838,5
00AZGU,Sydenham,6.250933239,5
00AZGW,Telegraph Hill,8.103555542,5
00AZGX,Whitefoot,4.958543506,5
00BAFX,Abbey,3.339562264,5
00BAFY,Cannon Hill,-0.516167345,3
00BAFZ,Colliers Wood,4.499549293,5
00BAGA,Cricket Green,6.494038056,5
00BAGB,Dundonald,0.411954541,4
00BAGC,Figge's Marsh,5.160738234,5
00BAGD,Graveney,3.537919936,5
00BAGE,Hillside,1.47174985,4
00BAGF,Lavender Fields,4.595242223,5
00BAGG,Longthornton,2.30721655,4
00BAGH,Lower Morden,-1.103201199,3
00BAGJ,Merton Park,-0.101179887,3
00BAGK,Pollards Hill,3.387951212,5
00BAGL,Ravensbury,3.535322453,5
00BAGM,Raynes Park,1.103599415,4
00BAGN,St Helier,3.45204206,5
00BAGP,Trinity,1.558830886,4
00BAGQ,Village,-0.956755371,3
00BAGR,West Barnes,-0.1856699,3
00BAGS,Wimbledon Park,0.697919654,4
00BBGB,Beckton,8.324416195,5
00BBGC,Boleyn,8.556253792,5
00BBGD,Canning Town North,10.67223225,5
00BBGE,Canning Town South,10.79320607,5
00BBGF,Custom House,8.237443463,5
00BBGG,East Ham Central,8.93532954,5
00BBGH,East Ham North,9.43151137,5
00BBGJ,East Ham South,7.41378721,5
00BBGK,Forest Gate North,8.392474312,5
00BBGL,Forest Gate South,10.08529628,5
00BBGM,Green Street East,9.949361319,5
00BBGN,Green Street West,9.784356274,5
00BBGP,Little Ilford,10.56395733,5
00BBGQ,Manor Park,9.699870984,5
00BBGR,Plaistow North,10.37310275,5
00BBGS,Plaistow South,7.647398092,5
00BBGT,Royal Docks,9.229339425,5
00BBGU,Stratford and New Town,10.8998837,5
00BBGW,Wall End,8.64330049,5
00BBGX,West Ham,9.8795796,5
00BCFY,Aldborough,1.475026732,4
00BCFZ,Barkingside,1.048435419,4
00BCGA,Bridge,0.501335799,4
00BCGB,Chadwell,0.171065437,3
00BCGC,Church End,-0.572832922,3
00BCGD,Clayhall,-0.037703516,3
00BCGE,Clementswood,6.485719058,5
00BCGF,Cranbrook,2.769756045,4
00BCGG,Fairlop,0.82480702,4
00BCGH,Fullwell,1.32380557,4
00BCGJ,Goodmayes,3.30937171,5
00BCGK,Hainault,2.288779244,4
00BCGL,Loxford,7.068692542,5
00BCGM,Mayfield,1.61134558,4
00BCGN,Monkhams,-2.546015131,2
00BCGP,Newbury,3.45199712,5
00BCGQ,Roding,1.974185239,4
00BCGR,Seven Kings,3.172221216,5
00BCGS,Snaresbrook,0.654884113,4
00BCGT,Valentines,5.92412837,5
00BCGU,Wanstead,-0.025786421,3
00BDFW,Barnes,1.089218053,4
00BDFX,East Sheen,-1.636643555,2
00BDFY,Fulwell and Hampton Hill,-0.481086252,3
00BDFZ,"Ham, Petersham and Richmond Riverside",1.6334507,4
00BDGA,Hampton,-1.500048695,3
00BDGB,Hampton North,0.338435195,4
00BDGC,Hampton Wick,0.176951887,3
00BDGD,Heathfield,0.78959466,4
00BDGE,Kew,-0.117123745,3
00BDGF,Mortlake and Barnes Common,1.034900005,4
00BDGG,North Richmond,1.014288816,4
00BDGH,St Margarets and North Twickenham,-1.460150539,3
00BDGJ,South Richmond,1.199551041,4
00BDGK,South Twickenham,-1.25558424,3
00BDGL,Teddington,-0.640541544,3
00BDGM,Twickenham Riverside,0.163966257,3
00BDGN,West Twickenham,-0.383590208,3
00BDGP,Whitton,-1.567481197,3
00BEGC,Brunswick Park,10.12589118,5
00BEGD,Camberwell Green,12.2979077,5
00BEGE,Cathedrals,10.13731769,5
00BEGF,Chaucer,11.2374933,5
00BEGG,College,4.79428502,5
00BEGH,East Dulwich,3.847424999,5
00BEGJ,East Walworth,11.91106704,5
00BEGK,Faraday,12.85392885,5
00BEGL,Grange,10.53358559,5
00BEGM,Livesey,12.47793473,5
00BEGN,Newington,10.97542534,5
00BEGP,Nunhead,9.273175635,5
00BEGQ,Peckham,12.63141741,5
00BEGR,Peckham Rye,5.555567532,5
00BEGS,Riverside,8.359334588,5
00BEGT,Rotherhithe,8.371445536,5
00BEGU,South Bermondsey,9.614374689,5
00BEGW,South Camberwell,7.978555865,5
00BEGX,Surrey Docks,4.951015081,5
00BEGY,The Lane,8.521525175,5
00BEGZ,Village,1.403217856,4
00BFGC,Beddington North,-1.696020599,2
00BFGD,Beddington South,3.342132304,5
00BFGE,Belmont,-1.306480042,3
00BFGF,Carshalton Central,-0.930204385,3
00BFGG,Carshalton South and Clockhouse,-1.931946804,2
00BFGH,Cheam,-3.149952215,1
00BFGJ,Nonsuch,-3.110717672,1
00BFGK,St Helier,4.584606951,5
00BFGL,Stonecot,-2.002647518,2
00BFGM,Sutton Central,2.110087144,4
00BFGN,Sutton North,-0.502064881,3
00BFGP,Sutton South,0.713654228,4
00BFGQ,Sutton West,-1.34541584,3
00BFGR,The Wrythe,0.261780605,4
00BFGS,Wallington North,-0.523048176,3
00BFGT,Wallington South,0.264701017,4
00BFGU,Wandle Valley,3.335153235,5
00BFGW,Worcester Park,-1.907043099,2
00BGFW,Bethnal Green North,11.54476344,5
00BGFX,Bethnal Green South,12.91886842,5
00BGFY,Blackwall and Cubitt Town,8.34001027,5
00BGFZ,Bow East,9.153092403,5
00BGGA,Bow West,8.072025263,5
00BGGB,Bromley-by-Bow,13.65975067,5
00BGGC,East India and Lansbury,12.43752263,5
00BGGD,Limehouse,10.70590216,5
00BGGE,Mile End and Globe Town,11.33100968,5
00BGGF,Mile End East,12.7467355,5
00BGGG,Millwall,7.565038937,5
00BGGH,St Dunstan's and Stepney Green,12.64737605,5
00BGGJ,St Katherine's and Wapping,7.687039818,5
00BGGK,Shadwell,12.12245741,5
00BGGL,Spitalfields and Banglatown,12.87437933,5
00BGGM,Weavers,12.28728357,5
00BGGN,Whitechapel,12.64187215,5
00BHFX,Cann Hall,7.399680877,5
00BHFY,Cathall,9.170878658,5
00BHFZ,Chapel End,2.92371554,5
00BHGA,Chingford Green,0.121440844,3
00BHGB,Endlebury,-0.349975314,3
00BHGC,Forest,5.370719096,5
00BHGD,Grove Green,6.388786518,5
00BHGE,Hale End and Highams Park,1.165523159,4
00BHGF,Hatch Lane,1.953984718,4
00BHGG,High Street,6.559723327,5
00BHGH,Higham Hill,6.844270187,5
00BHGJ,Hoe Street,7.30049928,5
00BHGK,Larkswood,0.897677648,4
00BHGL,Lea Bridge,6.861027537,5
00BHGM,Leyton,9.362685051,5
00BHGN,Leytonstone,5.346682125,5
00BHGP,Markhouse,7.267495174,5
00BHGQ,Valley,2.037715875,4
00BHGR,William Morris,6.208600721,5
00BHGS,Wood Street,6.469992553,5
00BJFZ,Balham,2.638975105,4
00BJGA,Bedford,4.495288932,5
00BJGB,Earlsfield,3.761551804,5
00BJGC,East Putney,2.845330358,5
00BJGD,Fairfield,3.536602533,5
00BJGE,Furzedown,4.664783238,5
00BJGF,Graveney,6.040849891,5
00BJGG,Latchmere,9.056197475,5
00BJGH,Nightingale,3.414408521,5
00BJGJ,Northcote,2.117177478,4
00BJGK,Queenstown,7.881982089,5
00BJGL,Roehampton,7.701217966,5
00BJGM,St Mary's Park,5.468507051,5
00BJGN,Shaftesbury,3.612696316,5
00BJGP,Southfields,2.712796101,4
00BJGQ,Thamesfield,1.367302704,4
00BJGR,Tooting,6.170905726,5
00BJGS,Wandsworth Common,1.332135355,4
00BJGT,West Hill,5.146772386,5
00BJGU,West Putney,3.465542077,5
00BKGA,Abbey Road,4.857500548,5
00BKGB,Bayswater,7.007848916,5
00BKGC,Bryanston and Dorset Square,7.57778978,5
00BKGD,Churchill,9.908259398,5
00BKGE,Church Street,12.25767249,5
00BKGF,Harrow Road,10.10589594,5
00BKGG,Hyde Park,7.675867659,5
00BKGH,Knightsbridge and Belgravia,4.111954991,5
00BKGJ,Lancaster Gate,8.870770532,5
00BKGK,Little Venice,5.637845612,5
00BKGL,Maida Vale,6.363798454,5
00BKGM,Marylebone High Street,6.671107754,5
00BKGN,Queen's Park,10.71807344,5
00BKGP,Regent's Park,6.92506907,5
00BKGQ,St James's,8.887001775,5
00BKGR,Tachbrook,8.104155658,5
00BKGS,Vincent Square,8.775859266,5
00BKGT,Warwick,6.894156455,5
00BKGU,Westbourne,10.89317116,5
00BKGW,West End,8.159182682,5
00BLFA,Astley Bridge,-1.3514037,3
00BLFB,Blackrod,-1.492976415,3
00BLFC,Bradshaw,-1.801544924,2
00BLFD,Breightmet,3.469810149,5
00BLFE,Bromley Cross,-2.14415939,2
00BLFF,Burnden,4.390045421,5
00BLFG,Central,9.45511165,5
00BLFH,Daubhill,3.377215818,5
00BLFJ,Deane-Cum-Heaton,-0.213768421,3
00BLFK,Derby,8.718573717,5
00BLFL,Farnworth,5.179513214,5
00BLFM,Halliwell,4.426170388,5
00BLFN,Harper Green,3.144376332,5
00BLFP,Horwich,-0.268518721,3
00BLFQ,Hulton Park,-3.215746237,1
00BLFR,Kearsley,0.45014121,4
00BLFS,Little Lever,-0.881993446,3
00BLFT,Smithills,-0.700830242,3
00BLFU,Tonge,3.83092538,5
00BLFW,Westhoughton,-0.700324206,3
00BMFA,Besses,2.458418129,4
00BMFB,Church,-2.389227618,2
00BMFC,East,3.872524979,5
00BMFD,Elton,-1.246257261,3
00BMFE,Holyrood,-0.761716608,3
00BMFF,Moorside,1.385000348,4
00BMFG,Pilkington Park,-0.949278283,3
00BMFH,Radcliffe Central,1.228327029,4
00BMFJ,Radcliffe North,-1.078198825,3
00BMFK,Radcliffe South,1.822074592,4
00BMFL,Ramsbottom,-2.045513737,2
00BMFM,Redvales,4.753396653,5
